avgAnnCount,avgDeathsPerYear,TARGET_deathRate,incidenceRate,medIncome,popEst2015,povertyPercent,studyPerCap,binnedInc,MedianAge,MedianAgeMale,MedianAgeFemale,Geography,AvgHouseholdSize,PercentMarried,PctNoHS18_24,PctHS18_24,PctSomeCol18_24,PctBachDeg18_24,PctHS25_Over,PctBachDeg25_Over,PctEmployed16_Over,PctUnemployed16_Over,PctPrivateCoverage,PctPrivateCoverageAlone,PctEmpPrivCoverage,PctPublicCoverage,PctPublicCoverageAlone,PctWhite,PctBlack,PctAsian,PctOtherRace,PctMarriedHouseholds,BirthRate,Id
88.0,40,261.0,561.4,29090,13352,26.8,2771.120431,"[22640, 34218.1]",39.8,39.2,40.5,"Jackson County, Kentucky",2.39,59.2,23.0,32.5,,3.5,43.4,4.3,37.3,12.3,44.8,33.6,32.0,47.5,32.9,99.69304485,0.044920267,0.0,0.0,55.49945907,6.838709677000001,0
73.0,35,167.3,345.6,29782,21903,38.8,0.0,"[22640, 34218.1]",32.3,30.8,35.2,"Willacy County, Texas",3.51,44.3,24.7,49.0,,0.5,35.5,6.4,31.7,11.5,27.2,20.7,18.8,45.3,34.1,94.7913826,1.649850014,0.063630579,2.854285974,52.81829642,4.799131378999999,1
292.0,124,191.0,468.4,41955,48985,15.5,0.0,"(40362.7, 42724.4]",42.2,40.9,43.8,"Henry County, Indiana",2.54,48.2,24.0,38.3,,6.4,43.5,10.2,48.5,10.6,67.4,49.6,44.9,34.5,16.0,95.10234811,1.741749074,0.3764294139999999,0.445611037,50.56079956,3.996826341,2
1962.667684,7,165.4,453.5494221,55378,3007,11.1,0.0,"(54545.6, 61494.5]",41.6,38.3,46.3,"Morton County, Kansas",2.53,54.2,21.1,51.0,21.7,6.2,32.5,10.6,57.1,5.8,70.9,56.8,49.6,30.1,15.2,85.83386993,0.933676755,0.160978751,7.244043786000001,52.56518082,3.29153605,3
43.0,20,160.6,349.7,26309,8551,35.3,0.0,"[22640, 34218.1]",43.9,41.2,47.8,"Hancock County, Georgia",2.49,30.2,46.6,35.4,,4.0,40.6,5.9,28.6,14.6,54.8,37.8,30.4,45.1,24.5,24.53552528,73.22373607,0.3940997639999999,1.396239162,33.64120782,3.166561115,4
4139.0,1292,120.1,392.9,97279,1040116,7.2,184.5947952,"(61494.5, 125635]",38.5,37.0,40.0,"Montgomery County, Maryland",2.76,53.2,12.7,23.5,44.0,19.9,14.0,26.6,67.1,6.1,77.0,64.7,56.4,23.0,11.5,55.62676166,17.6079398,14.56193834,7.859929519,53.70241078,5.281994667,5
1962.667684,36,153.9,453.5494221,65373,23298,10.0,0.0,"(61494.5, 125635]",34.7,34.7,34.6,"Pottawatomie County, Kansas",2.72,62.3,9.2,35.0,,6.5,31.2,21.2,64.8,3.7,80.4,66.0,52.1,23.8,10.7,94.08618785,1.290607735,0.901657459,0.6850828729999999,62.60986328,8.095893103,6
26.0,14,174.1,334.7,36627,5977,24.1,0.0,"(34218.1, 37413.8]",38.2,37.4,38.6,"Crosby County, Texas",2.71,53.8,26.7,41.0,32.4,0.0,30.7,9.2,54.7,10.0,43.8,33.6,28.0,40.3,28.3,89.99500583,3.878808057,0.0,3.712335608,52.67245318,4.238618524,7
549.0,234,213.2,493.1,49044,113972,20.9,96.51493349,"(48021.6, 51046.4]",35.2,34.4,36.0,"Terrebonne Parish, Louisiana",2.78,47.7,24.4,42.9,,4.5,40.0,9.8,55.6,5.5,59.8,47.8,42.6,32.8,20.1,71.23077469,18.53435277,0.913590321,0.7778822440000001,47.74235394,5.230870955,8
404.0,134,150.9,480.7,44148,63100,16.5,15.84786054,"(42724.4, 45201]",42.9,40.9,44.0,"Herkimer County, New York",2.4,50.1,13.3,29.0,,6.4,34.5,13.1,56.0,8.7,65.8,,45.0,40.7,22.5,96.0271106,0.997907362,0.4653777679999999,0.501296186,48.48832759,4.741223308,9
